1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
463	-0.111803	4.549501	0.401382	0.026226	2.6
464	-0.108268	4.559327	0.401228	0.018728	2.2
465	-0.130898	4.569154	0.401074	0.011300	2.3
466	-0.335522	4.578980	0.400920	0.040390	2.2
467	-0.196230	4.588806	0.400766	0.022771	2.3
468	-0.089961	4.598632	0.400612	0.024369	2.6
469	-0.154329	4.608458	0.400458	0.015708	2.6
470	-0.239153	4.618284	0.400304	0.051553	3.1
471	-0.150624	4.628110	0.400151	0.014193	2.5
472	-0.223756	4.637936	0.399998	0.016968	2.6
473	-0.170001	4.647763	0.399844	0.016140	2.6
474	-0.074681	4.657589	0.399691	0.019196	2.8
475	-0.283813	4.667415	0.399538	0.029760	2.8
476	-0.135132	4.677241	0.399385	0.036344	2.6
477	-0.197471	4.687067	0.399233	0.040257	2.4
478	-0.103072	4.696893	0.399080	0.024297	2.5
479	-0.209955	4.706719	0.398927	0.029905	2.7
480	-0.253398	4.716546	0.398775	0.014858	2.8
481	-0.190419	4.726372	0.398623	0.023735	3.1
482	-0.201311	4.736198	0.398470	0.028936	2.6
483	-0.157159	4.746024	0.398318	0.033557	3.1
484	-0.193793	4.755850	0.398166	0.028827	2.6
485	-0.114448	4.765676	0.398015	0.015632	2.5
486	-0.205577	4.775502	0.397863	0.037080	2.5
487	-0.175387	4.785329	0.397711	0.034614	2.4
488	-0.166929	4.795155	0.397560	0.024135	2.8
489	-0.238895	4.804981	0.397408	0.030186	2.3
490	-0.184935	4.814807	0.397257	0.020143	2.7
491	-0.231580	4.824633	0.397106	0.030329	2.7
492	-0.152382	4.834459	0.396955	0.034727	2.4
493	-0.205834	4.844285	0.396804	0.036829	2.5
494	-0.175586	4.854111	0.396653	0.010438	2.6
495	-0.231433	4.863938	0.396502	0.015085	2.5
496	-0.170426	4.873764	0.396352	0.016851	2.2
497	-0.131250	4.883590	0.396201	0.024033	2.5
498	-0.140967	4.893416	0.396051	0.034014	2.9
499	-0.260509	4.903242	0.395901	0.033730	2.3
500	-0.195873	4.913068	0.395751	0.018992	2.6
501	-0.244858	4.922894	0.395601	0.018794	2.4
502	-0.308525	4.932721	0.395451	0.011640	2.5
503	-0.275614	4.942547	0.395301	0.040776	2.2
504	-0.177743	4.952373	0.395151	0.034429	2.3
505	-0.249648	4.962199	0.395002	0.016501	3.0
506	-0.128880	4.972025	0.394852	0.015929	2.6
507	-0.150818	4.981851	0.394703	0.027421	2.5
508	-0.249040	4.991677	0.394554	0.041567	2.2
509	-0.206990	5.001504	0.394405	0.010991	2.6
